year,region,installed_capacity_mw,generation_gwh,market_value_million_usd,investment_million_usd,number_of_plants
2020,Northeast,12500,45000,2800,320,45
2020,Southeast,35000,120000,7500,850,120
2020,South,18000,65000,4100,480,75
2020,North,8000,28000,1750,200,30
2020,Central-West,12000,42000,2600,300,50
2021,Northeast,12800,46500,2900,340,47
2021,Southeast,35800,123000,7700,870,122
2021,South,18400,67000,4200,490,77
2021,North,8200,29000,1800,210,31
2021,Central-West,12300,43000,2700,310,52
2022,Northeast,13100,48000,3000,360,49
2022,Southeast,36600,126000,7900,890,124
2022,South,18800,69000,4300,500,79
2022,North,8400,30000,1850,220,32
2022,Central-West,12600,44000,2750,320,54
2023,Northeast,13400,49500,3100,380,51
2023,Southeast,37400,129000,8100,910,126
2023,South,19200,71000,4400,510,81
2023,North,8600,31000,1900,230,33
2023,Central-West,12900,45000,2800,330,56
2024,Northeast,13700,51000,3200,400,53
2024,Southeast,38200,132000,8300,930,128
2024,South,19600,73000,4500,520,83
2024,North,8800,32000,1950,240,34
2024,Central-West,13200,46000,2850,340,58 